	direccion	latitude	longitude
9	Blanco Encalada 1700, Belgrano	-34.5553161	-58.4523124
0	La Pampa 1400, Belgrano	-34.5589594	-58.4439989
1	Virrey Del Pino 2200, Belgrano	-34.5651353	-58.4496158
2	Zapiola 2600, Belgrano	-34.56997	-58.4600198
3	Avenida Rivadavia 5100, Caballito	-34.6189627	-58.4375128
4	Conesa 1000, Colegiales	-34.5732969	-58.4512099
5	Griveo 3300, Villa Pueyrredón	-34.5878449	-58.5088189
6	Sucre, Antonio J. De 900, Nuñez	-34.554765	-58.4395979
7	Arce 300, Las Cañitas	-34.5713098	-58.4303996
8	Mendoza 5000, Villa Urquiza	-34.5765561	-58.4824879
9	Sanchez De Bustamante 1800, Barrio Norte	-34.5835165	-58.4020228
0	Gorostiaga 2300, Colegiales	-34.5698681	-58.4417304
1	Nicolás Descalzi 5400, Villa Lugano	-34.6830473	-58.4638725
2	San Martin De Tour 3100, Palermo Chico - Palermo	38.1156879	13.3612671
3	Zenteno 3100, Palermo Chico - Palermo	38.1156879	13.3612671
4	Soler 5500, Palermo	-34.5817236	-58.4316857
5	Arenales 1400, Recoleta	-34.5949028	-58.3920671
6	Angel J. Carranza 2300, Palermo	-34.5778447	-58.43300319999999
7	Av.juramento 1700, Belgrano	-34.5584733	-58.4506153
8	Romulo S.naon 3600, Saavedra	-34.5563593	-58.48154539999999
9	Av. Alvarez Thomas 3000, Villa Urquiza	-34.5729089	-58.4816119
0	Juncal 2100, Recoleta	-34.5930799	-58.3973705
1	Av. Cordoba 2400, Barrio Norte	-34.5996587	-58.4009816
2	Cafayate, Liniers	-34.6465016	-58.5181406
3	Avenida Santa Fe 1700, Barrio Norte	-34.5957705	-58.392052
4	Rodriguez Peña 1700, Recoleta	-34.5908446	-58.3890951
5	Guatemala 5500, Palermo	-34.5811988	-58.4310503
6	Costa Rica 4900, Palermo Soho - Palermo	-34.5868519	-58.4290897
7	14 De Julio 1400, Belgrano	-34.5765734	-58.46328759999999
8	Conesa 300, Colegiales	-34.5769879	-58.4436339
9	Avenida Córdoba 6100, Palermo Hollywood - Palermo	38.1156879	13.3612671
0	Franklin Roosevelt 1500, Nuñez	-34.5521239	-58.4516827
1	Las Heras, Av. 3400, Palermo	-34.5829268	-58.40820749999999
2	Avellaneda 100, Caballito	-34.6115979	-58.4314319
3	Venezuela 400, San Telmo	-34.6136118	-58.3719315
4	San José De Calasanz 1000, Caballito	-34.6232251	-58.4377353
5	Aguero 1500, Barrio Norte	-34.5848089	-58.3978253
6	3 De Febrero 1900, Belgrano	-34.5614226	-58.4503791
7	Santa Fe 3700, Palermo	-32.1873376	-61.7090365
8	Charcas 3600, Barrio Norte	-34.5947636	-58.4051275
9	Salta 1900, Constitución	-34.6300148	-58.3825807
0	Av. Córdoba 1300, Barrio Norte	-34.5994282	-58.3852417
1	Potosi 3800, Almagro	-34.607397	-58.4201192
2	Irigoyen Bernardo 1300, San Telmo	-34.623787	-58.3795666
3	Camila O´gorman 300, Puerto Madero	-34.6212688	-58.3614307
4	Planes 600, Caballito	-34.6113976	-58.4474274
5	Peru 1300, San Telmo	-34.623131	-58.3740235
6	Carlos Encina 500, Liniers	-34.6445479	-58.5158803
7	Eduardo Holmberg 2300, Belgrano	0	0
8	Av. Corrientes 3400, Abasto	-34.6042785	-58.413105
9	Nicaragua 5900, Palermo Hollywood - Palermo	38.1156879	13.3612671
0	Moldes 3300, Nuñez	-34.5516589	-58.4701466
1	Ciudad De La Paz 100, Palermo	-34.5765726	-58.4381325
2	Montes De Oca 300, Barracas	-34.6321437	-58.37605749999999
3	Arias 2900, Nuñez	-34.5393534	-58.4673292
4	Coronel Apolinario Figueroa 1000, Caballito	-34.6086659	-58.4517149
5	General Cesar Díaz 3100, Villa Santa Rita	-34.6158149	-58.4813849
6	Acuña De Figueroa 100, Almagro	-34.6099064	-58.4228347
7	Del Libertador, Avda. 3500, Palermo	-34.5735595	-58.4179118
8	Pagano 2600, Palermo Chico - Palermo	38.1156879	13.3612671
9	San Luis 3200, Barrio Norte	-34.5994416	-58.4105844
0	Avenida Díaz Velez 4100, Almagro	-34.6087419	-58.4244759
1	Nicaragua 5600, Palermo Hollywood - Palermo	38.1156879	13.3612671
2	San Nicolas 4000, Villa Devoto	-34.5981269	-58.5081249
3	Jerónimo Salguero 100, Almagro	-34.6098102	-58.4199476
